hot,truth,What's the wildest place you've ever had sex?
hot,truth,What's your biggest sexual fantasy right now?
scorching,truth,Have you ever had a threesome? Would you?
scorching,truth,What's the most partners you've had in one night?
scorching,truth,Describe your hottest one-night stand in detail.
hot,truth,What's a kink you have that you're embarrassed to admit?
hot,truth,Have you ever been caught having sex? What happened?
scorching,truth,What's the roughest sex you've ever had?
hot,truth,What's your favorite position and why?
scorching,truth,Have you ever recorded yourself having sex?
hardcore,truth,What's the biggest or tightest sexual experience you've had?
scorching,truth,Have you ever had sex in front of other people?
scorching,truth,What's the most orgasms you've had in one session?
hot,truth,Do you prefer giving or receiving oral?
scorching,truth,What's your favorite way to be dominated or to dominate?
hot,truth,Have you ever used toys during sex? Favorite one?
hot,truth,What's a fantasy involving roleplay?
hardcore,truth,Have you ever had anal? Did you like it?
hot,truth,What's the sexiest thing someone has ever said to you in bed?
hot,truth,Have you ever cheated? Do you regret it?
hot,truth,What's your body count?
scorching,truth,Have you ever had sex with someone much older or younger than you?
scorching,truth,What's the longest you've been edged?
hot,truth,Do you watch porn? What's your favorite type?
hot,truth,Have you ever had a friends-with-benefits situation?
hot,truth,What's the hottest dream you've had about sex?
scorching,truth,Have you ever been tied up or tied someone up?
hot,truth,What's your favorite place to be kissed or touched?
scorching,truth,Have you ever had a quickie in a risky place?
hot,truth,What's something you've always wanted to try in bed but haven't?
hot,truth,Have you ever faked an orgasm?
scorching,truth,What's the most adventurous place you've masturbated?
scorching,truth,Do you like being watched while having sex?
scorching,truth,What's your go-to fantasy when masturbating?
hot,truth,Have you ever had sex while others were in the house?
scorching,truth,What's the best orgasm you've ever had?
hot,truth,Have you ever sent nudes? To who?
hot,truth,Do you prefer slow and sensual or hard and fast?
scorching,truth,What's a sexual experience you want to repeat?
scorching,truth,Have you ever been with more than one gender?
hot,truth,What's your favorite erogenous zone?
scorching,truth,Have you ever used food during sex?
scorching,truth,What's the dirtiest text you've ever sent?
scorching,truth,Have you ever had a sex marathon?
hardcore,truth,Do you like hair pulling, spanking, or choking?
scorching,truth,What's the most public sexual thing you've done?
hot,truth,Have you ever had a crush on a friend's partner?
hot,truth,What's your favorite way to tease someone?
scorching,truth,Have you ever been blindfolded during sex?
hot,truth,If you could have any celebrity for one night, who and what would you do?
hot,dare,Take off one piece of clothing slowly and seductively.
hot,dare,Give your partner a lap dance for 60 seconds.
hardcore,dare,Masturbate in front of each other for 1 minute.
hot,dare,French kiss your partner passionately for 30 seconds.
scorching,dare,Let your partner spank you 10 times.
hardcore,dare,Perform oral sex on your partner for 2 minutes.
hardcore,dare,Ride your partner (or a toy) together.
scorching,dare,Get completely naked for the next 3 rounds.
hot,dare,Do a sexy striptease.
hardcore,dare,Let your partner finger you (or you finger them).
hardcore,dare,Give a deep blowjob or handjob while maintaining eye contact.
hardcore,dare,Have sex doggy style for 90 seconds.
scorching,dare,Use ice cubes on your partner's body during foreplay.
scorching,dare,Blindfold yourself and let your partner touch you wherever they want.
hardcore,dare,Moan your partner's name loudly while touching yourself.
scorching,dare,Give a full body massage with oil focusing on naughty areas.
hardcore,dare,69 with your partner for 2 minutes.
scorching,dare,Let your partner tie your hands and tease you.
hardcore,dare,Have sex in missionary while describing how it feels out loud.
scorching,dare,Send a very explicit nude to your partner right now.
hardcore,dare,Edge yourself or your partner without cumming for 3 minutes.
hardcore,dare,Wear a small toy for the next few rounds.
hardcore,dare,Give oral while on your knees.
hardcore,dare,Ride your partner's face.
hardcore,dare,Let your partner choke you lightly while kissing.
hardcore,dare,Do wall sex or standing sex for 1 minute.
hardcore,dare,Use a toy on yourself while your partner watches.
scorching,dare,Give or receive a footjob.
scorching,dare,Kiss and lick your partner's neck, chest, and inner thighs.
hardcore,dare,Have sex in a new position chosen by your partner.
hardcore,dare,Beg your partner while on your knees.
hardcore,dare,Let your partner spank you 10 times while you count out loud.
hardcore,dare,Masturbate with a toy while your partner watches.
scorching,dare,French kiss while grinding on each other.
scorching,dare,Perform a sexy dance completely naked.
hardcore,dare,Let your partner go down on you for 2 minutes.
hardcore,dare,Have sex reverse cowgirl for 1 minute.
hardcore,dare,Use nipple clamps or clothespins for 60 seconds.
hardcore,dare,Give oral sex with your hands tied behind your back.
scorching,dare,Dry hump your partner intensely for 90 seconds.
scorching,dare,Let your partner tease your most sensitive spots without letting you cum.
scorching,dare,Record a short moaning audio message for your partner.
hardcore,dare,Have slow passionate sex for 2 minutes.
scorching,dare,Spank your partner while they count out loud.
hardcore,dare,Use lotion or oil for a slippery handjob or blowjob.
hardcore,dare,Get on all fours and let your partner take you from behind.
scorching,dare,Kiss your partner from head to toe spending extra time on hot spots.
hardcore,dare,Let your partner choose where you touch yourself next.
hardcore,dare,Help your partner cum.
hot,dare,End with a long passionate kiss and whisper one dirty thing you want to do later.
